;Source Domain;Target Domain;Title;Metaphor;Example
1114;liquid;money;Money Is A Liquid;Gain/loss Of Money Is Movement Of A Liquid;cash flow
1116;liquid;money;Money Is A Liquid;Gain/loss Of Money Is Movement Of A Liquid;Don't pour your money down the drain.
1130;accounting;morality;Moral Accounting;Doing Immoral Deeds Is Accumulating Debttaking Money From Society.;You have to pay for your mistakes.
1132;accounting;morality;Moral Accounting;Benefitting Is Accumulating Debt.;I couldn't possibly repay your kindness.
1133;accounting;morality;Moral Accounting;Moral Debt Can Be Paid Off With Moral Deedspaying Back The Money.;I'll make it up to everyone for what I've done.
1162;cleanliness;morality;Morality Is Cleanliness;Morality Is Cleanliness;His reputation is besmirched.
1163;cleanliness;morality;Morality Is Cleanliness;Morality Is Cleanliness;She doesn't want to get her hands dirty.
1165;cleanliness;morality;Morality Is Cleanliness;Morality Is Cleanliness;The magazine got the dirt about him.
1166;purity;morality;Morality Is Purity;Morality Is Purity;He is as pure as the driven snow.
1167;purity;morality;Morality Is Purity;Morality Is Purity;She is of pure heart.
1169;path;morality;Morality Is Straightness;Being Moral Is Being Straight.;I think he's being straight with me.
1170;path;morality;Morality Is Straightness;Being Immoral Is Being Crooked.;He's a crooked businessman.
1174;path;morality;Morality Is Straightness;Diverging From The Path Is Being Immoral.;She has strayed.
1181;container;obligations;Obligations Are Containers;Obligations Are Containers;Can you get out of doing the dishes?
1183;container;obligations;Obligations Are Containers;Obligations Are Containers;"Try to get out of those committments; don't let your boss box you in."
1185;container;obligations;Obligations Are Containers;Obligations Are Containers;He trapped her into going with him.
1197;possessions;obligations;Obligations Are Possessions;Obligations Are Burdens (on Shoulder Or Back);He's carrying a heavy load at work.
1200;possessions;obligations;Obligations Are Possessions;Obligations Are Burdens (on Shoulder Or Back);He bears the responsibility for the success of this mission.
1201;possessions;obligations;Obligations Are Possessions;Obligations Are Burdens (on Lap);I dumped that project in his lap.
1211;children;obligations;Obligations Are Possessions;Obligations Are Children;The setting of salaries is his baby.
1212;children;obligations;Obligations Are Possessions;Obligations Are Children;I thought you were going to take care of that problem.
1213;children;obligations;Obligations Are Possessions;Obligations Are Children;He's been neglecting his duties.
1218;object;opportunities;Opportunities Are Objects;Opportunities Are Objects;Don't let the opportunity pass you by.
1219;object;opportunities;Opportunities Are Objects;Opportunities Are Objects;You have to make your own opportunities.
1225;object;opportunities;Opportunities Are Objects;Opportunities Are Objects;I took the job when it became available.
1238;path;opportunities;Opportunities Are Open Paths;Opportunities Are Open Paths;His job offer opened up new paths for me.
1239;path;opportunities;Opportunities Are Open Paths;Opportunities Are Open Paths;I can go whichever I want with this project.
1240;path;opportunities;Opportunities Are Open Paths;Opportunities Are Open Paths;Opportunity is an open door.
1242;batteries;people;People Are Batteries;People Are Batteries;I'm all charged up and full of energy.
1243;batteries;people;People Are Batteries;People Are Batteries;She was energized by the applause.
1245;batteries;people;People Are Batteries;People Are Batteries;I need a jump start on Monday mornings
1246;machine;people;People Are Machines;People Are Machines;He had a breakdown.
1247;machine;people;People Are Machines;People Are Machines;Her ticker is weak.
1249;machine;people;People Are Machines;People Are Machines;Fuel up with a good breakfast.
1252;plants;people;People Are Plants;People Are Plants;She's a late bloomer.
1254;plants;people;People Are Plants;People Are Plants;He's a budding artist.
1256;plants;people;People Are Plants;People Are Plants;The grim reaper.
1277;shape;perception;Perception Is Shape Recognition;Perception Is Shape Recognition;I can't figure him out.
1278;shape;perception;Perception Is Shape Recognition;Perception Is Shape Recognition;I sized him up.
1280;shape;perception;Perception Is Shape Recognition;Perception Is Shape Recognition;He cuts a splendid figure.
1282;substance;personality;Personality Is Material;Personality Is Material;This will test his mettle.
1283;substance;personality;Personality Is Material;Personality Is Material;He has a heart of gold.
1284;substance;personality;Personality Is Material;Personality Is Material;She is made of tougher stuff.
1285;holding;possession;Possessing Is Holding;Trying To Get Is Trying To Grab;He's been trying to get his hands on the property for years.
1289;holding;possession;Possessing Is Holding;Possessing Is Holding;He keeps a tight grip on his valuable stocks.
1291;holding;possession;Possessing Is Holding;Retaining A Possession Is Retaining A Held Object;Even in backruptcy he managed to hang onto his car collection.
1298;object;problem;Problem Is A Constructed Object;Aspects Of Problem Are Components Of Object;Let's look at the make-up of this problem.
1300;object;problem;Problem Is A Constructed Object;Aspects Of Problem Are Components Of Object;A lot of factors went into creating this problem.
1302;object;problem;Problem Is A Constructed Object;Trying To Solve Is Looking For Solution In Object;He tore the problem apart looking for its solution.
1303;tangle;problem;Problem Is A Tangle;Problem Is A Tangle;A knotty problem.
1305;tangle;problem;Problem Is A Tangle;Solving Is Untangling;He untangled the problem.
1306;tangle;problem;Problem Is A Tangle;Solving Is Untangling;He unraveled the problem.
1308;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;The mayor targetted the problem of homelessness.
1309;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;He took aim at the problem.
1310;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;He spearheaded the investigation.
1317;centrality;importance;Properties Are Physical Properties;Importance Is Centrality;Let's strip away all the unimportant details.
1318;centrality;importance;Properties Are Physical Properties;Importance Is Centrality;What is central here?
1319;centrality;importance;Properties Are Physical Properties;Importance Is Centrality;That's just a peripheral issue.
1321;size;importance;Properties Are Physical Properties;Importance Is Size;That's a big discovery.
1322;size;importance;Properties Are Physical Properties;Importance Is Size;He concentrates on little details.
1327;size;importance;Properties Are Physical Properties;Importance Is Size;He'll never amount to anything.
1328;depth;importance;Properties Are Physical Properties;Importance Is Depth;There's a deeper issue here.
1329;depth;importance;Properties Are Physical Properties;Importance Is Depth;That's a profound problem.
1330;depth;importance;Properties Are Physical Properties;Importance Is Depth;Let's ignore all the details on the surface.
1332;length;amount;Properties Are Physical Properties;Amount Is Length;He's short of money.
1333;length;amount;Properties Are Physical Properties;Amount Is Length;He's long on good looks.
1334;length;amount;Properties Are Physical Properties;Amount Is Length;He's short on intelligence.
1335;up;more;Properties Are Physical Properties;Amount Is Verticality;The number of people living in poverty went up.
1336;up;more;Properties Are Physical Properties;Amount Is Verticality;Can you please decrease the number of assignments?
1340;size;amount;Properties Are Physical Properties;Amount Is Size;Which of the two classes is bigger?
1341;size;amount;Properties Are Physical Properties;Amount Is Size;He only has a little money.
1342;size;amount;Properties Are Physical Properties;Amount Is Size;I'm not a big eater.
1344;size;amount;Properties Are Physical Properties;Amount Is Size;Can you break a twenty?
1347;possessions;properties;Properties Are Possessions;Properties Are Possessions;She has a nice sense of humor.
1348;possessions;properties;Properties Are Possessions;Properties Are Possessions;He lost his tolerance for alcohol.
1350;possessions;properties;Properties Are Possessions;Properties Are Possessions;He got his red hair from his mother.
1353;force;influence;Psychological Forces Are Physical Forces.;Influence Is A Force;He can exert his influence on her.
1355;force;influence;Psychological Forces Are Physical Forces.;Influence Is A Force;She could bend his will.
1356;force;influence;Psychological Forces Are Physical Forces.;Influence Is A Force;Reagan brought pressure to bear upon his cabinet.
1368;up;rational;Rational Is Up;Rational Is Up;The discussion fell to the emotional level, but I raised it back up to the rational plane.
1370;up;rational;Rational Is Up;Rational Is Up;He couldn't rise above his emotions.
1382;possessions;responsibilities;Responsibilities Are Possessions;Responsibilities Are Possessions;I was the one who got the blame.
1383;possessions;responsibilities;Responsibilities Are Possessions;Responsibilities Are Possessions;He took all the credit.
1389;possessions;responsibilities;Responsibilities Are Possessions;Responsibilities Are Attached To Person Held Responsible.;They made the charges stick.
1398;touching;seeing;Seeing Is Touching, Eyes Are Limbs;Looking At Something On Purpose Is Touching It With Eyes Or Glance;I couldn't take my eyes off of him.
1400;touching;seeing;Seeing Is Touching, Eyes Are Limbs;Looking At Something On Purpose Is Touching It With Eyes Or Glance;I met his glance with my own.
1401;touching;seeing;Seeing Is Touching, Eyes Are Limbs;Discovering By Looking Is Manipulating With Eyes Or Glance;Her eyes picked out a detail in the pattern.
1420;body;society;Society Is A Body;Society Is A Body;Our society is making great strides.
1425;body;society;Society Is A Body;Society Is A Body;nurse our nation back to health
1428;body;society;Society Is A Body;Society Is A Body;China finally stood up and was noticed.
1435;locations;states;States Are Locations;States Are Locations;He is in love.
1436;locations;states;States Are Locations;States Are Locations;What kind of a state was he in when you saw him?
1440;locations;states;States Are Locations;States Are Locations;He is at a certain stage in his studies.
1445;shapes;states;States Are Shapes;Social Interaction Is Containment In A Prescribed Shape;He doesn't fit in.
1447;shapes;states;States Are Shapes;Ideal Physical State Is A Canonical Shape;She's getting in shape.
1454;shapes;states;States Are Shapes;Appropriateness Of A State Is Fittingness;He let the punishment fit the crime
1455;blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;He was blinded by love.
1456;blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;She was so angry she couldn't see straight.
1458;blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;They were dazzled with excitement.
1460;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;He's out of his mind with grief.
1461;insanity;excitement;Strong Emotions Are Madness;Strong Emotions Are Madness;The excitement is driving me over the edge.
1463;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;I'm mad with jealousy.
1466;insanity;love;Strong Emotions Are Madness;Love Is Madness;He raves about her.
1467;insanity;love;Strong Emotions Are Madness;Love Is Madness;I'm just wild about Harry.
1469;insanity;love;Strong Emotions Are Madness;Love Is Madness;She is madly in love.
1472;areas;subjects;Subjects Are Areas;Subjects Are Areas;He is in a difficult field.
1477;areas;subjects;Subjects Are Areas;Research Is Exploration;The scientists have covered a lot of ground in the last 100 years.
1482;areas;subjects;Subjects Are Areas;Research Is Exploration;Your dissertation should stake out new territory, preferably virgin territory.
1483;areas;subjects;Subjects Are Areas;Research Is Exploration;The researchers surveyed the new material.
1492;container;body;The Body Is A Container For The Self;The Body Is A Container For The Self;He's a young man trapped in an old man's body.
1493;container;body;The Body Is A Container For The Self;The Body Is A Container For The Self;He withdraws into himself.
1495;container;body;The Body Is A Container For The Self;The Body Is A Container For The Self;Once you get past his rude exterior, you'll find a warm and caring person inside.
1498;container;meaning;The Conduit Metaphor;The Content Is Contained In The Stimulus;He found the knowledge in a new book.
1499;container;meaning;The Conduit Metaphor;The Content Is Contained In The Stimulus;Your words seem rather hollow.
1507;container;meaning;The Conduit Metaphor;The Content Is Contained In The Stimulus;Harry does not exactly overload his paragraphs with thought.
1518;projectiles;ideas;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He launched the discussion.
1519;projectiles;ideas;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He heaved the whole issue onto me.
1520;projectiles;ideas;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He hurled his criticisms at me, one after another.
1521;body;mind;The Mind Is A Body;Mental Fitness Is Physical Fitness;His mind is strong and supple.
1529;body;mind;The Mind Is A Body;Mental Control Is Physical Control;It's in the palm of my hand.
1532;body;mind;The Mind Is A Body;Mental Control Is Physical Control;The idea just slipped through my fingers.
1551;machine;mind;The Mind Is A Machine;The Mind Is A Machine;He has a screw loose.
1552;machine;mind;The Mind Is A Machine;The Mind Is A Machine;He slipped a cog.
1554;machine;mind;The Mind Is A Machine;The Mind Is A Machine;He churns out ideas. 
1573;competition;debate;Theoretical Debate Is Competition;Theoretical Debate Is Competition;The adherents of that theory will soon be beaten out by new theorists.
1577;competition;debate;Theoretical Debate Is Competition;Theoretical Debate Is Competition;Evolution is the leading biological theory
1579;competition;debate;Theoretical Debate Is Competition;Theoretical Debate Is Competition;A fierce battle is shaping up in modern philosophy.
1599;support;beliefs;Theoretical Debate Is Competition;Basic Assumptions Of A Theory Are Foundations;He chipped away at the foundation for her beliefs.
1600;support;beliefs;Theoretical Debate Is Competition;Basic Assumptions Of A Theory Are Foundations;He tried to undermine her belief.
1601;support;beliefs;Theoretical Debate Is Competition;Believers Of The Theory Protect The Theory From Collapse;What view does he uphold?
1606;beings;theories;Theories Are Beings With Life Cycles;Theories Are Beings With Life Cycles;The theory died out.
1609;beings;theories;Theories Are Beings With Life Cycles;Theories Are People (w.r.t Life Cycle);A new theory was given birth.
1617;beings;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);Many theories sprang up out of the fertile soil of his discoveries.
1619;cloth;theories;Theories Are Cloth;Theories Are Cloth;A finely woven theory.
1623;cloth;theories;Theories Are Cloth;Theories Are Clothing For Facts;The theory fit the data nicely.
1624;cloth;theories;Theories Are Cloth;Theories Are Clothing For Facts;Let's look at the naked facts.
1629;part-whole;theories;Theories Are Constructed Objects;IDEAS ARE CONSTRUCTRED OBJECTS;They assembled a theory.
1631;part-whole;theories;Theories Are Constructed Objects;IDEAS ARE CONSTRUCTRED OBJECTS;One piece of the theory doesn't fit.
1639;part-whole;theories;Theories Are Constructed Objects;IDEAS ARE CONSTRUCTRED OBJECTS;The theory was torn down brick by brick by its opponants.
1660;changer;time;Time Is A Changer;Time Is A Changer;Time heals all wounds.
1662;changer;time;Time Is A Changer;Time Is A Changer;Time had made her look old.
1663;changer;time;Time Is A Changer;Time Is A Changer;Time had not been kind to him.
1665;container;time;Time Is A Container (bounded);Time Is A Container (bounded);He did it in three minutes.
1667;container;time;Time Is A Container (bounded);Time Is A Container (bounded);We're well into the century.
1668;container;time;Time Is A Container (bounded);Time Is A Container (bounded);He's like something out of the last century.
1669;landscape;time;Time Is A Landscape We Move Through;Time Is A Landscape We Move Through;We're coming up on Xmas.
1670;landscape;time;Time Is A Landscape We Move Through;Time Is A Landscape We Move Through;Thanksgiving is looming on the horizen.
1671;landscape;time;Time Is A Landscape We Move Through;Time Is A Landscape We Move Through;He didn't make it to Tuesday.
1677;resource;time;Time Is A Resource;Time Is A Resource;We're almost out of time.
1678;resource;time;Time Is A Resource;Time Is A Resource;Don't waste time.
1679;resource;time;Time Is A Resource;Time Is A Resource;Find a better use for your time.
1680;money;time;Time Is Money;Time Is Money;She spends her time unwisely.
1681;money;time;Time Is Money;Time Is Money;The diversion should buy him some time.
1682;money;time;Time Is Money;Time Is Money;Time is money
1685;moving object;time;Time Is Something Moving Toward You;Time Is Something Moving Toward You;Thursday passed without incident.
1687;moving object;time;Time Is Something Moving Toward You;Time Is Something Moving Toward You;Time crept along.
1691;moving object;time;Time Is Something Moving Toward You;Time Is Something Moving Toward You;What events are up ahead?
1693;war;illness;Treating Illness Is Fighting A War;The Body Is A Battleground;The disease infiltrates your body and takes over.
1694;war;illness;Treating Illness Is Fighting A War;Infection Is An Attack By The Disease;His body was under seige by AIDS.
1698;war;illness;Treating Illness Is Fighting A War;Medical Procedures Are Attacks By The Patient;The doctors tried to wipe out the infection.
1702;well-being;wealth;Well-being Is Wealth;Well-being Is Wealth;I am the richest man in the world: I have the love of my family.
1704;well-being;wealth;Well-being Is Wealth;Well-being Is Wealth;It is a poor man who has no love of himself.
1705;well-being;wealth;Well-being Is Wealth;Well-being Is Wealth;The cynics of this world lead impoverished lives.
1706;weapons;words;Words Are Weapons;Words Are Weapons;She used some sharp words.
1707;weapons;words;Words Are Weapons;Words Are Weapons;That was pretty cutting language.
1710;weapons;words;Words Are Weapons;Words Are Weapons;He hurled insults at her.
